# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
   64   77 1.06775E+01
   64   78 6.15981E+01
   64   79 2.71137E+01
   64   80 1.46227E+02
   64   81 1.50996E+01
   64   82 1.13420E+05
   64   83 4.05528E+04
   64   85 1.80394E+03
   64   87 1.64244E+04
   64   89 1.26146E+08
   65   65 1.72718E-02
   65   66 3.97730E-02
   65   67 3.57852E-02
   65   68 9.84155E-02
   65   69 1.02734E-01
   65   70 1.93221E-01
   65   71 3.50844E-01
   65   72 5.35408E-01
   65   73 7.58841E-01
   65   74 1.15281E+00
   65   75 1.69524E+00
   65   76 6.01577E+00
   65   77 2.51247E+00
   65   78 6.34621E+00
   65   79 4.98555E+00
   65   80 7.46131E+00
   65   81 7.90159E+00
   65   82 2.25604E+02
   65   83 5.60915E+01
   65   84 5.45270E+01
   65   85 1.44597E+02
   65   86 2.59583E+02
   65   87 1.14154E+02
   65   88 2.34446E+05
   65   89 6.57421E+05
   65   90 4.74632E+06
   65   91 5.73982E+05
   65   92 4.83492E+09
   65   93 6.93147E+09
   65   95 1.09588E+13
   66   67 2.01343E-02
   66   68 5.98589E-02
   66   69 6.21169E-02
   66   70 1.62181E-01
   66   71 2.14156E-01
   66   72 3.42166E-01
   66   73 4.98644E-01
   66   74 8.40303E-01
   66   75 1.12874E+00
   66   76 5.57943E+00
   66   77 1.98807E+00
   66   78 7.95194E+00
   66   79 5.12579E+00
   66   80 2.27317E+01
   66   81 4.33367E+00
   66   82 8.04982E+01
   66   83 7.07920E+02
   66   84 3.44872E+02
   66   85 2.02221E+02
   66   86 1.44645E+04
   66   87 3.23541E+02
   66   89 2.15277E+06
   66   91 8.73346E+05
   66   93 6.93147E+09
   67   69 3.19924E-02
   67   70 6.62169E-02
   67   71 9.49093E-02
   67   72 1.49884E-01
   67   73 1.81250E-01
   67   74 2.71233E-01
   67   75 4.36001E-01
   67   76 1.46821E+00
   67   77 8.47495E-01
   67   78 1.94348E+00
   67   79 2.52116E+00
   67   80 2.51343E+00
